"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-06-09T20:29:36.1356872+07:00[Asia/Jakarta]","0.0","5.2"
"User","POST As admin I have be able to create new user","SUCCESS","2023-06-09T20:29:41.3524543+07:00[Asia/Jakarta]","0.0","0.74"
"User","PUT As admin I have be able to update existing user","SUCCESS","2023-06-09T20:29:42.0954161+07:00[Asia/Jakarta]","0.0","0.67"
"User","DELETE As admin I have be able to delete existing user","SUCCESS","2023-06-09T20:29:42.7766271+07:00[Asia/Jakarta]","0.0","1.9"
